date,Open,Close,Low,High,Volume,OpenInterest,adj_fct
2013/7/23,2171.6,2243,2171.6,2269.2,1123777,58776,0.852239581
2013/7/24,2228.6,2232.4,2171.2,2242.8,980054,58908,0.852239581
2013/7/25,2227.8,2209.8,2191,2259.8,1113890,56908,0.852239581
2013/7/26,2200.8,2192,2171.6,2218.2,879735,55903,0.852239581
2013/7/29,2169,2163.6,2126.4,2169.8,761328,61406,0.852239581
2013/7/30,2158,2168.2,2144.2,2212,940386,65684,0.852239581
2013/7/31,2179.8,2165,2162,2224,887075,65439,0.852239581
2013/8/1,2174,2244.2,2173.6,2246,1118932,67542,0.852239581
2013/8/2,2254.8,2240,2229.2,2271.6,859756,60364,0.852239581
2013/8/5,2244.8,2265.8,2228.8,2274.4,833863,64187,0.852239581
2013/8/6,2261.6,2278.8,2241.8,2299,887686,64816,0.852239581
2013/8/7,2272.4,2258.4,2256.2,2310,970873,61995,0.852239581
2013/8/8,2270,2265.4,2254.8,2296,844524,60291,0.852239581
2013/8/9,2272,2288.2,2235.4,2297.8,985805,55338,0.852239581
2013/8/12,2294.6,2348.4,2289.4,2358.8,923594,56694,0.852239581
2013/8/13,2359.6,2354.6,2338.4,2362,607564,39953,0.852239581
2013/8/14,2359,2349,2336,2389.8,396091,18205,0.852239581
2013/8/15,2349,2324.2,2314.4,2359.6,124573,9874,0.852239581
2013/8/16,2319.8,2286.2,2283,2408,1220406,81087,0.850264095
2013/8/19,2283,2329.4,2275.8,2348,893124,84364,0.850264095
2013/8/20,2325,2308.6,2298.8,2358,905244,85443,0.850264095
2013/8/21,2321,2314,2288.8,2329.6,908202,84422,0.850264095
2013/8/22,2299.8,2309,2297,2336,853021,88103,0.850264095
2013/8/23,2323,2279.2,2243.6,2328.6,884883,88383,0.850264095
2013/8/26,2300.2,2340,2285.2,2344,924234,92353,0.850264095
2013/8/27,2340,2338.4,2318.6,2347,667709,83662,0.850264095
2013/8/28,2329.8,2322.8,2288.8,2347.8,934856,82229,0.850264095
2013/8/29,2333.6,2314.8,2295.6,2343.8,883943,77581,0.850264095
2013/8/30,2310.2,2302.2,2290.4,2328,909314,77539,0.850264095
2013/9/2,2316,2329.2,2291.8,2329.2,810715,78931,0.850264095
2013/9/3,2334.2,2349,2320.8,2354,845034,78642,0.850264095
2013/9/4,2349,2342.6,2339.4,2352,519443,75542,0.850264095
2013/9/5,2349,2341.8,2329.2,2349.8,597405,73915,0.850264095
2013/9/6,2334.2,2355.2,2330.6,2359,691661,73442,0.850264095
2013/9/9,2363,2434.8,2361.4,2447.6,867771,75449,0.850264095
2013/9/10,2437.6,2472.6,2433.4,2475.8,638193,74151,0.850264095
2013/9/11,2479,2480.8,2467.6,2497.6,681874,73110,0.850264095
2013/9/12,2480.8,2503.4,2471,2525,808410,70000,0.850264095
2013/9/13,2499.2,2497.2,2482,2512.8,610236,62007,0.850264095
2013/9/16,2505.8,2479.4,2471,2509.4,600405,47403,0.850264095
2013/9/17,2475,2440.4,2431.2,2479.4,457781,30464,0.850264095
2013/9/18,2440.4,2432.2,2409.6,2442.6,175395,13052,0.850264095
2013/9/23,2434.4,2463.6,2425.2,2465,51166,0,0.850264095
2013/9/24,2470.4,2448.4,2421.2,2474,771533,74656,0.848473195
2013/9/25,2450,2434.8,2428.4,2461.2,688034,75385,0.848473195
2013/9/26,2433,2391,2383.4,2434.2,779590,75323,0.848473195
2013/9/27,2385.2,2398.4,2380.8,2403,563695,68500,0.848473195
2013/9/30,2396,2409.6,2395,2424.6,476830,65134,0.848473195
2013/10/8,2401.2,2440,2390.4,2449,609153,67580,0.848473195
2013/10/9,2435,2457,2426.6,2457.8,542702,67189,0.848473195
2013/10/10,2460,2429,2417,2462,708396,63468,0.848473195
2013/10/11,2449,2466,2436.2,2473.4,814167,57803,0.848473195
2013/10/14,2466.4,2468.8,2460.4,2478.2,598659,56124,0.848473195
2013/10/15,2475,2461.4,2443,2479.2,564680,50096,0.848473195
2013/10/16,2458,2426.4,2410.2,2459,653508,41233,0.848473195
2013/10/17,2436.2,2411,2408.2,2439.6,305786,21731,0.848473195
2013/10/18,2416,2428.4,2407,2437.8,68365,0,0.848473195
2013/10/21,2421,2466.4,2414,2474.6,700800,70272,0.853181079
2013/10/22,2470,2446,2433.8,2471.4,609161,68616,0.853181079
