date,Open,High,Low,Close,Volume,OpenInterest,adj_fct
2016/6/13,5910,5977.8,5721,5732,15848,19235,1
2016/6/14,5740,5774,5689,5723.4,13728,16373,1
2016/6/15,5688,5963.8,5678.8,5920,13782,12836,1
2016/6/16,5920.2,5950,5883.2,5912.8,9201,6582,1
2016/6/17,5940,6012.4,5940,5962.4,5041,0,1
2016/6/20,5820,5864.4,5725.2,5848.2,14283,21028,1
2016/6/21,5900,5969.6,5735.4,5777.6,16109,22023,1
2016/6/22,5759.8,5922.2,5756.6,5922,14943,22533,1
2016/6/23,5910,5918,5822.2,5888,13737,22547,1
2016/6/24,5871,5935.8,5653.6,5787,18967,23945,1
2016/6/27,5810.2,5977.4,5806,5965.2,15312,23986,1
2016/6/28,5945,6045,5924.4,6037,15062,24342,1
2016/6/29,6067,6077,6010,6050.4,12972,23962,1
2016/6/30,6045,6062.2,6021.2,6051.6,11598,23528,1
2016/7/1,6060,6107,6013.6,6039.8,13186,23994,1
2016/7/4,6011,6201,6011,6159.6,14960,24454,1
2016/7/5,6163.6,6219.8,6162.2,6202.4,11624,23608,1
2016/7/6,6193.4,6256.6,6165.8,6226.6,12366,23183,1
2016/7/7,6237.4,6293.8,6178.4,6279.4,14216,22145,1
2016/7/8,6261.4,6299,6226,6265,11802,20801,1
2016/7/11,6289.6,6356.8,6245,6248,13589,19426,1
2016/7/12,6261.2,6376.6,6220.2,6368.6,14918,16150,1
2016/7/13,6394.2,6453,6363.2,6416.4,12722,12400,1
2016/7/14,6409.8,6447.6,6405.6,6442.2,8080,6874,1
2016/7/15,6441.4,6469.6,6412,6439.8,5511,0,1
2016/7/18,6298.6,6338,6252.2,6266,11932,19523,1
2016/7/19,6281.6,6299.6,6218.2,6272.8,12937,20346,1
2016/7/20,6294,6337.6,6263.8,6265.4,12788,20580,1
2016/7/21,6276.8,6378,6272.2,6310,13796,21788,1
2016/7/22,6299,6332.4,6259,6272.6,12238,21621,1
2016/7/25,6256,6326,6248,6290.4,11452,21776,1
2016/7/26,6286.2,6396.8,6286.2,6393.4,12105,22511,1
2016/7/27,6395.2,6416.4,6042.2,6104.2,18101,22307,1
2016/7/28,6120.2,6160.4,6060.2,6125.6,13897,22046,1
2016/7/29,6142,6154.4,6081,6103,11027,21812,1
2016/8/1,6088,6104,5960.2,6028.2,12872,22339,1
2016/8/2,6055.6,6100,6029.4,6083,10792,22184,1
